,ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
239,26836,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.11538,0.00000,0.00000
240,27188,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.04167,0.00000,0.00000,0.00000
241,11646,0.00000,0.16667,0.00000,0.00000,0.00000,1.00000,0.08333,0.00000,0.08333,0.00000,0.00000
242,11729,0.00000,0.33333,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
243,14958,0.00000,0.00000,0.00000,0.06250,0.00000,1.00000,0.12500,0.00000,0.06250,0.00000,0.00000
244,1892,0.00000,0.03333,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
245,186,0.00000,0.20000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
246,17066,0.00000,0.09375,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
247,29656,0.00000,0.05660,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
248,23553,0.00000,0.00000,0.00000,0.40000,0.00000,1.00000,0.00000,0.00000,0.00000,0.30000,0.00000
249,1672,0.00000,0.00000,0.06250,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
250,53,0.14286,0.14286,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
251,1947,0.00000,0.18182,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
252,17170,0.00000,0.30000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
253,3089,0.00000,0.00000,0.00000,0.00000,0.10526,1.00000,0.00000,0.10526,0.15789,0.00000,0.00000
254,25257,0.00000,0.00000,0.00000,0.33333,0.00000,1.00000,0.05556,0.00000,0.11111,0.27778,0.00000
255,27585,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.01923,0.01923,0.00000,0.00000
256,217,0.00000,0.20000,0.00000,0.10000,0.00000,1.00000,0.00000,0.00000,0.30000,0.00000,0.00000
257,11236,0.00000,0.21429,0.00000,0.07143,0.28571,1.00000,0.42857,0.14286,0.07143,0.00000,0.00000
258,46,0.00000,0.09375,0.00000,0.01562,0.00000,1.00000,0.00000,0.00000,0.06250,0.00000,0.00000
259,14832,0.00000,0.10000,0.00000,0.05000,0.00000,1.00000,0.07500,0.00000,0.05000,0.00000,0.00000
260,15020,0.00000,0.00000,0.00000,0.06897,0.00000,1.00000,0.06897,0.00000,0.03448,0.00000,0.00000
261,26646,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.06250,0.00000,0.00000
262,26980,0.00000,0.00000,0.00000,0.00000,0.03333,1.00000,0.00000,0.03333,0.10000,0.00000,0.00000
263,3519,0.00000,0.00000,0.00000,0.00000,0.08333,1.00000,0.00000,0.12500,0.08333,0.00000,0.00000
264,113,0.00000,0.33333,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265,26557,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.25000,0.00000,0.00000
266,23659,0.00000,0.00000,0.00000,0.50000,0.00000,1.00000,0.00000,0.00000,0.00000,0.50000,0.00000
267,3301,0.00000,0.00000,0.00000,0.00000,0.07692,1.00000,0.00000,0.07692,0.15385,0.00000,0.00000
268,26845,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.05882,0.17647,0.00000,0.00000
269,26549,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.04762,0.00000,0.00000
270,1941,0.00000,0.02778,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
271,2883,0.00000,0.00000,0.00000,0.00000,0.09091,1.00000,0.00000,0.09091,0.18182,0.00000,0.00000
272,17121,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
